id	name	school	portrait_width	portrait_height	existing	portrait_source	primary_color	secondary_color
ayaneko_halo	アヤネ	abydos	336	1024	true	existing	F54845	FFA09E
shiroko_halo	シロコ	abydos	540	1024	true	existing	45E9F5	9EF9FF
serlka_halo	セリカ	abydos	532	1024	true	existing	F54592	FF9EC9
nonomi_halo	ノノミ	abydos	614	1024	true	existing	D2F545	ECFF9E
hoshino_halo	ホシノ	abydos	673	1024	true	existing	F54561	FF9EAE
kuroko_halo	シロコ＊テラー	abydos	1125	1517	true	existing	45F5E0	9EFFF3
yume_halo	ユメ	abydos	609	1229	true	existing	F5BB45	FFDF9E
atsuko_halo	アツコ	arius	834	1306	false	standing	4569F5	9EB2FF
saori_halo	サオリ	arius	738	1248	false	standing	457DF5	9EBDFF
hiyori_halo	ヒヨリ	arius	788	1010	false	standing	45DBF5	9EF1FF
misaki_halo	ミサキ	arius	728	1083	false	standing	F5458A	FF9EC4
subaru_halo	スバル	arius	619	1400	false	standing	CF45F5	EA9EFF
kanna_halo	カンナ	valkyrie	501	1378	false	standing	45CAF5	9EE7FF
konoka_halo	コノカ	valkyrie	534	1302	false	standing	45BFF5	9EE2FF
kirino_halo	キリノ	valkyrie	534	950	false	standing	456EF5	9EB5FF
fubuki_halo	フブキ	valkyrie	602	1044	false	standing	F5458D	FF9EC6
ibuki_halo	イブキ	gehenna	656	1050	false	standing	F5AA45	FFD69E
iroha_halo	イロハ	gehenna	626	1120	false	standing	4553F5	9EA6FF
satsuki_halo	サツキ	gehenna	717	1500	false	standing	F54545	FF9E9F
chiaki_halo	チアキ	gehenna	746	1324	false	standing	F54573	FF9EB7
makoto_halo	マコト	gehenna	1030	1377	false	standing	F5457B	FF9EBC
ako_halo	アコ	gehenna	350	1056	false	standing	457EF5	9EBEFF
iori_halo	イオリ	gehenna	916	1200	false	standing	4B45F5	A19EFF
chinatsu_halo	チナツ	gehenna	554	1100	false	standing	F54D45	FFA39E
hina_halo	ヒナ	gehenna	1400	927	true	existing	AA45F5	D69EFF
aru_halo	アル	gehenna	614	1024	false	standing	F55345	FFA69E
kayoko_halo	カヨコ	gehenna	403	1022	true	existing	F5DC45	FFF19E
haruka_halo	ハルカ	gehenna	365	1024	false	standing	D545F5	ED9EFF
mutsuki_halo	ムツキ	gehenna	849	1024	false	standing	F5455C	FF9EAB
akari_halo	アカリ	gehenna	679	1121	false	standing	45ACF5	9ED7FF
izumi_halo	イズミ	gehenna	943	1200	false	standing	F5BC45	FFE09E
junko_halo	ジュンコ	gehenna	637	1024	false	standing	F54572	FF9EB7
haruna_halo	ハルナ	gehenna	634	1024	false	standing	F55F45	FFAD9E
sena_halo	セナ	gehenna	699	1273	false	standing	6C45F5	B49EFF
juri_halo	ジュリ	gehenna	628	1024	false	standing	458FF5	9EC7FF
fuuka_halo	フウカ	gehenna	578	1024	false	standing	F5455E	FF9EAC
kasumi_halo	カスミ	gehenna	928	1200	false	standing	F55245	FFA69E
megu_halo	メグ	gehenna	869	1147	false	standing	F5454A	FF9EA1
erika_halo	エリカ	gehenna	592	1294	false	standing	4574F5	9EB8FF
kirara_halo	キララ	gehenna	638	1221	false	standing	F54591	FF9EC8
kisaki_halo	キサキ	shanhaijing	534	1194	false	standing	4575F5	9EB9FF
mina_halo	ミナ	shanhaijing	648	1418	false	standing	45F54B	9EFFA2
rumi_halo	ルミ	shanhaijing	454	1311	false	standing	F54545	FF9E9E
reijo_halo	レイジョ	shanhaijing	437	1299	false	standing	F54571	FF9EB7
saya_halo	サヤ	shanhaijing	648	1000	false	standing	4560F5	9EADFF
kokona_halo	ココナ	shanhaijing	706	1028	false	standing	459AF5	9ECDFF
shun_halo	シュン	shanhaijing	1045	1536	true	existing	459EF5	9ECFFF
seia_halo	セイア	trinity	824	1400	true	existing	F5A945	FFD59E
nagisa_halo	ナギサ	trinity	806	1195	false	standing	F5456C	FF9EB4
mika_halo	ミカ	trinity	816	1367	true	existing	FF9ED2	FFE0F0
ichika_halo	イチカ	trinity	796	1178	false	standing	F5454E	FF9EA3
tsurugi_halo	ツルギ	trinity	802	994	false	standing	F54554	FF9EA7
hasumi_halo	ハスミ	trinity	875	1090	false	standing	F54645	FF9F9E
mashiro_halo	マシロ	trinity	886	1504	false	standing	F54548	FF9EA0
sakurako_halo	サクラコ	trinity	768	1395	false	standing	F5A245	FFD19E
hinata_halo	ヒナタ	trinity	688	1087	false	standing	F5C445	FFE49E
mari_halo	マリー	trinity	577	1280	true	existing	F5CC45	FFE89E
ui_halo	ウイ	trinity	784	1280	false	standing	F59745	FFCC9E
shimiko_halo	シミコ	trinity	627	970	false	standing	F5C545	FFE59E
shirasuazusa_halo	アズサ	trinity	849	1128	true	existing	F5BF45	FFE19E
koharu_halo	コハル	trinity	754	1174	false	standing	F5456A	FF9EB2
hanako_halo	ハナコ	trinity	652	1333	false	standing	F55345	FFA69E
hifumi_halo	ヒフミ	trinity	556	1024	false	standing	F5DD45	FFF29E
airi_halo	アイリ	trinity	500	1024	false	standing	45F5C4	9EFFE4
kazusa_halo	カズサ	trinity	840	1396	false	standing	F5459C	FF9ECE
natsu_halo	ナツ	trinity	403	1280	true	existing	F55445	FFA79E
yoshimi_halo	ヨシミ	trinity	497	1024	false	standing	F5B545	FFDC9E
serina_halo	セリナ	trinity	516	1068	false	standing	F5B945	FFDE9E
hanae_halo	ハナエ	trinity	612	978	false	standing	F5458A	FF9EC4
